name;id;calories;proteins;fat;carbohydrate;serat;kalsium;fosfor;zat_besi;natrium;kalium;tembaga;seng;vitamin_a;provitamin_a;total_karotenoid;vitamin_b1;vitamin_b2;vitamin_b3;vitamin_c;bdd;url_image;indeks_glikemik;referensi_ig;status_pencocokan_ig;klasifikasi_ig
Ketimun madura segar;762;9;0.5;0.1;1.9;0.7;15;102;0.6;2;78.9;0.02;0.1;0;25;0;0.02;0.02;0.1;5;89;https://kopijagung.com/wp-content/uploads/2021/05/0001-1776641472_20210524_095708_0000_compress85-scaled.jpg;15;Waspadji et al. (2003);partial→timun;Rendah
Ketoprak;763;153;7.9;7.7;13;2.9;153;134;3.4;0;0;0;0;0;0;278.75;0.05;0;0;0;100;https://asset.kompas.com/crops/BiN_oCxCDgkO09b1B_FPfZuvGBw=/0x0:739x493/750x500/data/photo/2020/01/29/5e318845429db.jpg;55;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Sedang
Ketumbar;764;404;14.1;16.1;54.2;1.1;62;80;2;10;68;0.1;0.2;0;0;0;0.1;0.02;0.1;0;100;https://awsimages.detik.net.id/community/media/visual/2021/08/27/5-manfaat-sehat-minum-air-ketumbar-naikkan-imunitas-dan-detoks-tubuh-3_169.jpeg?w=1200;55;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Sedang
Ketupat ketan;765;212;4;4.6;38.6;1.1;62;80;2;10;68;0.1;0.2;0;0;0;0.1;0.02;0.1;0;100;https://awsimages.detik.net.id/community/media/visual/2022/05/01/ketupat-ketan-khas-sumatra-2.jpeg?w=1200;66;Waspadji et al. (2003);partial→ketupat;Sedang
Ketupat Tahu ;766;109.6;2.6;2.6;18.6;2.4;133;220;4;6;69.2;0.27;1.2;0;0;0;0.18;0.07;0.7;0;100;https://asset-a.grid.id/crop/0x0:0x0/x/photo/2021/06/09/resep-kupat-tahu-menu-sarapan-n-20210609032448.jpg;66;Waspadji et al. (2003);partial→ketupat;Sedang
Kluwek;767;310;10;24;13.5;0;40;100;2;0;0;0;0;0;0;0;0.15;0;0;12.5;80;https://faktualnews.co/images/2022/01/kluwek.png;55;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Sedang
Kodok segar;768;73;16.4;0.3;0;0;18;147;1.1;0;0;0;0;0;0;0;0.14;0;0;0;65;https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhmeQYqX74WTMCJTIO2HnZZT8Ffw091uAsMlNwFrXw-7CB0TARNDJK4xVwMKTr7dFMOpSCZoNX0qO_5gI8oNfog0ymHClf25cs8AbUs4xqcbJ0aDDcUd1ow7JyZnvtfaT1pgl_sT3TjxdP41i0ACR6UctmGTsTOPvkakgVLf0y1gPf63c2VPllg40mK/w1200-h630-p-k-no-nu/Pig%20Frog.jpg;55;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Sedang
Kokosan;769;86;1.6;0.2;13;1.1;62;80;2;10;68;0.1;0.2;0;0;0;0.1;0.02;0.1;0;100;https://cms.sehatq.com/public/img/article_img/buah-kokosan-dan-duku-satu-keluarga-tapi-beda-rasa-1595398922.jpg;55;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Sedang
Komak polong segar;770;99;3.3;0.1;21.2;6.75;50;99;8.2;15;567;0.2;0.6;0;5;0;0.13;0.03;0.2;0;100;https://media.istockphoto.com/id/153755664/id/foto/kacang-polong-salju-segar-di-tumpukan-di-latar-belakang-putih.jpg?s=612x612&w=0&k=20&c=MPZCUQdV2lekycXztBESkb2swqE0hgIzUwflaZlFoaw=;39;Atkinson et al. (2008);token(polong)→kacang polong;Rendah
Kool Kembang;771;25;2.4;0.2;4.9;1.6;22;72;1.1;47;187;0.04;0.3;0;24;90;0.11;0.09;0.6;12.5;57;https://images.tokopedia.net/img/cache/500-square/VqbcmM/2020/11/17/8b6436f9-8344-48fd-9171-b066c4191f94.jpg;55;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Sedang
Kool Merah kool putih;772;24;1.4;0.2;5.3;1.9;46;31;0.5;28;236.8;0.29;0.3;0;46;80;0.06;0.07;0.3;12.5;75;https://res.cloudinary.com/dk0z4ums3/image/upload/v1627875002/attached_image/walau-bikin-perut-kembung-manfat-kol-ternyata-banyak-lho.jpg;55;Atkinson et al. (2008);token(merah)→nasi merah;Sedang
Kopi bagian yang larut;773;352;17.4;1.3;69;1.1;62;80;2;10;68;0.1;0.2;0;0;0;0.1;0.02;0.1;0;100;https://cdn1-production-images-kly.akamaized.net/hapr3rDjLzJcczX2rWbC4f9DUgk=/1200x1200/smart/filters:quality(75):strip_icc():format(jpeg)/kly-media-production/medias/3412827/original/090341300_1616835451-pexels-photo-977876.jpeg;0;Tidak mengandung karbohidrat signifikan;partial→kopi;Tidak signifikan (non-karbohidrat)
Kopi bubuk instant;774;129;12.3;0.5;35;0;179;383;5.6;72;775;0.14;0;0;0;0;0;0.21;0;0;100;https://cdn.pixabay.com/photo/2014/02/10/11/25/coffee-powder-263354_1280.jpg;0;Tidak mengandung karbohidrat signifikan;partial→kopi;Tidak signifikan (non-karbohidrat)
Koro andong kering;775;356;20.5;4.1;61.6;6.75;150;272;6.2;18;301.8;0.73;2.5;0;0;0;0.29;0.02;1.4;1;100;AF079.jpg (360×360) (andrafarm.co.id);55;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Sedang
Koro Benguk biji;776;332;24;3;55;1.1;62;80;2;10;68;0.1;0.2;0;0;0;0.1;0.02;0.1;0;100;https://laz-img-sg.alicdn.com/p/cac8dce3faa0e4781f2e5ea5968dba20.png;19;Nainggolan & Adimunca (2005) dalam Arif et al. (2013);token(biji)→jambu biji;Rendah
Koro Benguk tempe;777;141;10.2;1.3;23.2;2.4;133;220;4;6;69.2;0.27;1.2;0;0;0;0.18;0.07;0.7;0;100;https://imgx.parapuan.co/file/parapuan/mobile/crop/0x0:0x0/700x0/photo/2021/06/04/tempe-koro-pedangjpg-20210604124728.jpg;25;"Waspadji et al. (2003); Rimbawan & Siagian (2004)";partial→tempe;Rendah
Koro Kerupuk biji;778;125;8.3;0.7;22.1;0.3;50;85;2.5;0;0;0;0;0;0;0;0.2;0;0;0;100;https://cf.shopee.co.id/file/id-11134103-22100-uucup9m29iiv8c;87;Waspadji et al. (2003);partial→kerupuk;Tinggi
Koro Loke biji;779;33;2.7;0.2;7.9;1.1;62;80;2;10;68;0.1;0.2;0;0;0;0.1;0.02;0.1;0;100;https://filebroker-cdn.lazada.co.id/kf/S5058ebd94c9d4462a13ac9a3ac2a814aP.jpg;19;Nainggolan & Adimunca (2005) dalam Arif et al. (2013);token(biji)→jambu biji;Rendah
Koro Roway biji;780;344;12.5;2.1;69.4;1.1;62;80;2;10;68;0.1;0.2;0;0;0;0.1;0.02;0.1;0;100;https://down-id.img.susercontent.com/file/fdde3aac7d03f1b5dd4ab9f5df4545d4;19;Nainggolan & Adimunca (2005) dalam Arif et al. (2013);token(biji)→jambu biji;Rendah
Koro Wedus biji;781;338;22.2;1.5;61;1.1;62;80;2;10;68;0.1;0.2;0;0;0;0.1;0.02;0.1;0;100;https://ahligizi.id/blog/wp-content/uploads/2022/03/gude.jpg;19;Nainggolan & Adimunca (2005) dalam Arif et al. (2013);token(biji)→jambu biji;Rendah
Koro Wedus buah muda;782;38;3;0.3;7.9;2.45;20;31;0.6;4;171.2;0.1;0.25;0;9;0;0.1;0.03;0.3;10;100;https://ahsanfile.files.wordpress.com/2013/08/20121226_084508.jpg;45;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Rendah
Koro wedus polong;783;46;3;0.3;7.9;3.3;56;47;1.1;2;249.3;0.09;0.4;0;60;278.75;0.09;0.09;0.5;12.5;70;https://www.andrafarm.com/_andra_farm/gambar_kelompok/a136-3.jpg;39;Atkinson et al. (2008);token(polong)→kacang polong;Rendah
Kotiu hinela tawang nggole;784;46;2.2;1.5;6;3.8;64;44;0;225;103;0.75;0.8;0;60;0;0.3;0;3.5;7;100;https://drive.google.com/file/d/1LZOGoU3M3XcPbU5_HaAZ26ybCTbiTXpT/view?usp=sharing;55;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Sedang
Koya;785;366;4.2;4.3;77.5;0.8;153;222;7;0;0;0;0;0;0;0;0;0;0;0;100;https://cf.shopee.co.id/file/25e9b3e3d818ae999bd0736ff56ca58b;55;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Sedang
Koya mirasa;786;370;8;1;82.2;0.4;83;110;0;0;0;0;0;0;0;144;0.19;0.3;2.6;0;100;https://nilaigizi.com/assets/images/produk/produk_1538365100.jpg;55;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Sedang
Kranji segar;787;315;2.1;1.4;73.5;3.6;160;120;3.7;0;0;0;0;0;0;0;0.02;0;0;0;31;https://lzd-img-global.slatic.net/g/p/e4cd1b24a0e937b48e2afb796900196a.jpg_720x720q80.jpg_.webp;55;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Sedang
Kripik Tempe Goreng ;788;542;40.3;42.4;11.5;2.4;133;220;4;6;69.2;0.27;1.2;0;0;0;0.18;0.07;0.7;0;100;https://asset.kompas.com/crops/NvawKpjCGV6FrehArD0C-OBjYSI=/3x0:700x465/750x500/data/photo/2020/12/01/5fc629934653a.jpg;25;"Waspadji et al. (2003); Rimbawan & Siagian (2004)";partial→tempe;Rendah
Krokot;789;21;1.7;0.4;3.8;1.1;62;80;2;10;68;0.1;0.2;0;0;0;0.1;0.02;0.1;0;100;https://www.greeners.co/wp-content/uploads/2020/09/Krokot-Tanaman-Gulma-dengan-Segudang-Khasiat-2.jpg;55;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Sedang
Kucai;790;45;2.2;0.3;10.3;1.1;62;80;2;10;68;0.1;0.2;0;0;0;0.1;0.02;0.1;0;100;https://img-cdn.medkomtek.com/0sG2Fssyrmn9bdgy08HRVYdJE6U=/0x0/smart/filters:quality(75):strip_icc():format(webp)/article/APtPHT6GJD825hl5oB-p_/original/070454600_1570675713-Sejuta-Manfaat-Daun-Kucai-yang-Jarang-Diketahui-Orang-By-K321-Shutterstock_1100191607.jpg;55;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Sedang
Kucai Muda (Lokio);791;42;3.8;0.6;7.8;1.1;62;80;2;10;68;0.1;0.2;0;0;0;0.1;0.02;0.1;0;100;https://cdn.shopify.com/s/files/1/0369/8321/0116/products/5161687_e94df3b1-09a5-4656-b592-358959106303_762_762_700x.jpg?v=1587857197;55;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Sedang
Kuda daging segar;792;113;18.1;4.1;0.9;0;10;150;2.7;46;315.7;0.13;2.5;0;0;0;0.07;0.07;3;0;100;https://awsimages.detik.net.id/community/media/visual/2021/07/29/fakta-daging-kuda-2.jpeg?w=724;0;Atkinson et al. (2008) – tidak mengandung karbohidrat;token(daging)→daging sapi;Tidak signifikan (non-karbohidrat)
Kue ali;793;440;3.8;18.5;64.5;0.3;27;47;2.5;0;0;0;0;0;0;0;0.13;0.09;0;0;100;https://awsimages.detik.net.id/community/media/visual/2022/06/21/resep-kue-cincin_43.jpeg?w=1200;75;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Tinggi
Kue Apem ;794;186.7;1.6;1.6;39.6;0.3;50;85;2.5;0;0;0;0;0;0;0;0.2;0;0;0;100;https://cdn0-production-images-kly.akamaized.net/1vXhapwViv08dtFYbhhKKEfqiJ0=/0x542:4608x3139/1200x675/filters:quality(75):strip_icc():format(webp)/kly-media-production/medias/3479555/original/004272600_1623394884-shutterstock_1952418853.jpg;75;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Tinggi
Kue bangket;795;338;1.5;1.2;80.3;0;34;35;0.3;67;0;0.2;0.2;0;0;0;0.3;0;0;0;100;https://asset.kompas.com/crops/1zdz3_jE_GfEVcRZKtgL2GokVrA=/0x0:1000x667/750x500/data/photo/2023/02/24/63f805fb8890f.jpeg;75;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Tinggi
Kue Bugis ;796;240;1;4;54;0.3;50;85;2.5;0;0;0;0;0;0;0;0.2;0;0;0;100;https://asset.kompas.com/crops/hHVyMg5BiDHITqTbKdbpz1Un4_c=/0x0:1000x667/750x500/data/photo/2022/06/21/62b109f77f78c.jpeg;75;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Tinggi
Kue jahe;797;425;1.6;8.8;84.6;1.2;155;61;4;0;0;0;0;0;0;0;0.2;0;0;0;100;https://kurio-img.kurioapps.com/21/07/21/7ff9c395-9dea-492e-b3a0-ec9c7287dc04.jpe;75;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Tinggi
Kue kelapa;798;591;5.6;42.1;47.5;0;32;180;1.6;33;443;0.5;1.1;0;0;0;0;0;0;0;100;https://assets.suaramerdeka.com/crop/0x0:0x0/750x500/webp/photo/2023/01/03/3184254010.png;0;Atkinson et al. (2008) – tidak mengandung karbohidrat;token(kelapa)→minyak kelapa;Tidak signifikan (non-karbohidrat)
Kue Koya ;799;366;4.2;4.3;7.9;0.3;50;85;2.5;0;0;0;0;0;0;0;0.2;0;0;0;100;https://media.karousell.com/media/photos/products/2018/08/23/koya_kacang_suuk_asli_bandung_1535029115_863b9a71_progressive.jpg;75;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Tinggi
Kue lumpur;800;291;3.6;11.1;44.1;0;96;60;2.3;0;0;0;0;0;0;278.75;0.24;0;0;0;100;https://img.kurio.network/u_ismzhaT5An97OjUr0AzVYEjCE=/1200x900/filters:quality(80)/https://kurio-img.kurioapps.com/21/09/21/eec4bac2-8193-41bd-b249-22a4afc28519.jpe;75;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Tinggi
Kue mangkok ;801;182;1;1;40.4;0.3;50;85;2.5;0;0;0;0;0;0;0;0.2;0;0;0;100;https://asset.kompas.com/crops/EUNcgQqWtMLzjyycRK-jWqJPg5Q=/3x0:700x465/750x500/data/photo/2021/01/13/5ffe348f5e49a.jpg;75;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Tinggi
Kue Pacar Cina ;802;126.7;0.7;0.7;57.3;0.3;50;85;2.5;0;0;0;0;0;0;0;0.2;0;0;0;100;https://asset.kompas.com/crops/jkimxsmqIcyNJ_UjeHGJML9sT_4=/0x0:698x465/750x500/data/photo/2021/02/20/603069ab80f59.jpg;75;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Tinggi
Kue Pia ;803;296;1.4;1.4;66.4;0.3;50;85;2.5;0;0;0;0;0;0;0;0.2;0;0;0;100;https://www.resepkuerenyah.com/wp-content/uploads/2015/05/Resep-Kue-Pia-Kacang-Hijau.jpg;75;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Tinggi
Kue putu cangkir;804;304;5.3;7;54.9;0.9;18;193;4;0;0;0;0;0;0;0;0.06;0;0;0;100;https://i.ytimg.com/vi/GH8hVDZ3AZA/maxresdefault.jpg;75;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Tinggi
Kue putu singkong;805;217;1.2;0.5;53.2;2.4;48;68;1.5;3;305;0;0;0;0;0;0.1;0.1;0.8;0;100;https://asset.kompas.com/crops/4HYsevQAK_PJOcsTRt4Tl0vo4YI=/0x0:1000x667/750x500/data/photo/2021/06/10/60c19ee3dbc24.jpg;75;Atkinson et al. (2008);partial→singkong;Tinggi
Kue Satu ;806;393.3;2.7;2.7;79.3;0.3;50;85;2.5;0;0;0;0;0;0;0;0.2;0;0;0;100;https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Kue_satu_2.JPG/640px-Kue_satu_2.JPG;75;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Tinggi
Kue Semprong ;807;380;1;1;92;0.3;50;85;2.5;0;0;0;0;0;0;0;0.2;0;0;0;100;https://asset.kompas.com/crops/jT3TeOZw6jjDRXgh1-P9Yrz0enI=/0x0:1000x667/750x500/data/photo/2022/01/21/61ea314112848.jpg;75;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Tinggi
Kue sus;808;221;7.5;10.2;24.8;0;105;85;2.5;0;0;0;0;0;0;278.75;0.12;0;0;0;100;https://statics.indozone.news/local/63abe8c5a2d3e.jpg;75;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Tinggi
Kue Talam ;809;180;5;5;32;0.3;50;85;2.5;0;0;0;0;0;0;0;0.2;0;0;0;100;https://cdn.yummy.co.id/content-images/images/20220319/ZDxMHnPOfZAq6tXHCLa9WsgeVwHh5Wb2-31363437363439303336d41d8cd98f00b204e9800998ecf8427e.jpg?x-oss-process=image/format,webp;75;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Tinggi
Kue Tambang ;810;512;26;26;60.4;0.3;50;85;2.5;0;0;0;0;0;0;0;0.2;0;0;0;100;https://asset.kompas.com/crops/x2yGurVUxpP-COxvvOjVx2P7lL0=/100x67:900x600/750x500/data/photo/2022/04/14/62578f6fbc8b8.jpg;75;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Tinggi
Kue thipan;811;247;2.9;4.2;49.5;0;16;107;1.8;95;56;0.75;0.8;0;0;0;0.17;0;0;0;100;https://asset.kompas.com/crops/fXb2bs6UVUJNODIGbh7aFfAzUE4=/41x33:950x639/750x500/data/photo/2021/03/05/6041b846aa175.jpg;75;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Tinggi
Kulit melinjo;812;111;4.5;1.1;20.7;5;117;179;2.6;0;0;0;0;0;0;278.75;0.07;0;0;7;100;https://www.tagar.id/Asset/uploads2019/1650333684879-kulit-melinjo.jpg;55;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Sedang
Kundur segar;813;22;0.4;0.2;4.7;1.3;3;54;0.5;2;200;0.1;0.3;0;7;0;0.1;0.03;0.4;1;57;https://images.tokopedia.net/img/cache/700/VqbcmM/2021/7/19/0136f82a-7e5d-4239-a821-5d104134e2bf.jpg;55;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Sedang
Kunyit;814;63;2;2.7;9.1;1.1;62;80;2;10;68;0.1;0.2;0;0;0;0.1;0.02;0.1;0;100;https://asset.kompas.com/crops/6wd6YSreRZtdz-lCDTpHxoTIbZA=/0x165:1000x832/750x500/data/photo/2020/11/27/5fc0a1e0529ea.jpg;55;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Sedang
Kura-kura;815;83;19.1;0.2;0;1.1;62;80;2;10;68;0.1;0.2;0;0;0;0.1;0.02;0.1;0;100;https://image-cdn.medkomtek.com/KZBBktqticgNUpCCeJzeVrcDKGg=/673x379/smart/klikdokter-media-buckets/medias/2312546/original/004647900_1581575442-Daging-Penyu-Shutterstock_443050405.jpg;55;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Sedang
Kwaci;816;515;30.6;42.1;13.8;6.75;54;312;6.2;124;448.6;0.65;2.5;0;0;0;0.02;0.19;0.3;0;35;https://lzd-img-global.slatic.net/g/p/38df63d32f7205e9f443bd8cac8ef122.jpg_720x720q80.jpg_.webp;55;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Sedang
Kwark (Quark);817;242;19;17;3;0;300;350;0.5;37;72.7;0.01;0.2;0;0;0;0.03;0.3;0;0;100;https://www.24kitchen.nl/files/styles/header_small/public/2018-03/shutterstock_1015365694.jpg?itok=ILdve5p_;55;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Sedang
Labu Air;818;17;0.6;0.2;3.8;1.1;62;80;2;10;68;0.1;0.2;0;0;0;0.1;0.02;0.1;0;100;https://img.okezone.com/content/2021/02/08/481/2358505/yuk-rajin-konsumsi-labu-air-ini-12-manfaatnya-untuk-kesehatan-tubuh-Co3o1Xm8pf.jpg;75;Atkinson et al. (2008);partial→labu;Tinggi
Labu kuning segar;819;51;1.7;0.5;10;2.7;40;180;0.7;225;220;0.35;1.5;0;60;0;0.2;0;0.1;2;74;https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/8/15/8459499c-3699-48fc-99e9-68c2b3dd27d6.jpg?ect=4g;75;Atkinson et al. (2008);partial→labu;Tinggi
Labu Siam;820;26;0.6;0.1;6.7;1.1;62;80;2;10;68;0.1;0.2;0;0;0;0.1;0.02;0.1;0;100;https://assets.pikiran-rakyat.com/crop/0x0:0x0/x/photo/2023/05/27/3705926699.jpg;75;Atkinson et al. (2008);partial→labu;Tinggi
Labu waluh segar;821;32;1.1;0.1;6.6;0.5;45;64;1.4;1;356.2;0.13;0.3;0;60;180;0.08;0.12;0.6;12.5;77;https://media.istockphoto.com/id/1276814339/id/foto/irisan-mentah-segar-butternut-squash-di-papan-kayu-tampilan-atas-ke-bawah.jpg?s=612x612&w=0&k=20&c=zCYDW2KS0xuVGjq4k-_AwwkZnCQxapWuuWovVhJvqKA=;75;Atkinson et al. (2008);partial→labu;Tinggi
Laksa ;822;166.3;2.7;3.9;29.5;1.1;62;80;2;10;68;0.1;0.2;0;0;0;0.1;0.02;0.1;0;100;https://asset.kompas.com/crops/cmvexYXhxB1oyebUTtLncpQTxNE=/256x116:1280x798/750x500/data/photo/2022/10/11/63455e3290f0e.jpg;55;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Sedang
Lamtoro (pete cina) biji muda;823;85;5.7;0.3;15.4;1.1;62;80;2;10;68;0.1;0.2;0;0;0;0.1;0.02;0.1;0;100;https://d1vbn70lmn1nqe.cloudfront.net/prod/wp-content/uploads/2022/11/02042448/X-Manfaat-Petai-Cina-untuk-Kesehatan-Tubuh.jpg;19;Nainggolan & Adimunca (2005) dalam Arif et al. (2013);token(biji)→jambu biji;Rendah
Lamtoro biji tua;824;148;10.6;0.5;26.2;1.1;62;80;2;10;68;0.1;0.2;0;0;0;0.1;0.02;0.1;0;100;https://images.tokopedia.net/img/cache/700/VqbcmM/2021/9/23/73d62514-e013-460c-9f52-d3c17e019a91.jpg;19;Nainggolan & Adimunca (2005) dalam Arif et al. (2013);token(biji)→jambu biji;Rendah
Lamtoro tempe;825;142;11;2.5;20.4;2.4;133;220;4;6;69.2;0.27;1.2;0;0;0;0.18;0.07;0.7;0;100;https://awsimages.detik.net.id/community/media/visual/2021/01/09/warga-blitar-bikin-alternatif-tempe-lamtoro-2_169.jpeg?w=700&q=90;25;"Waspadji et al. (2003); Rimbawan & Siagian (2004)";partial→tempe;Rendah
Lamtoro var. gung tanpa kulit;826;367;46.4;5.4;32.5;1.1;62;80;2;10;68;0.1;0.2;0;0;0;0.1;0.02;0.1;0;100;https://cdn-2.tstatic.net/jateng/foto/bank/images/lamtoro.jpg;50;Richana et al. (2012) dalam Arif et al. (2013);token(gung)→nasi jagung;Rendah
Lamtoro var. lokal dengan kulit;827;336;23.8;1.2;59.7;1.1;62;80;2;10;68;0.1;0.2;0;0;0;0.1;0.02;0.1;0;100;https://m.andrafarm.com/_andra_farm/gambar_rinci/534.jpg;55;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Sedang
Langsat;828;56;0.9;0.2;14.3;1.1;62;80;2;10;68;0.1;0.2;0;0;0;0.1;0.02;0.1;0;100;https://st4.depositphotos.com/12727742/21449/i/450/depositphotos_214494426-stock-photo-lanzones-fruit-on-white-isolated.jpg;0;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Tidak signifikan (non-karbohidrat)
Lantar segar;829;34;2.2;0.3;5.5;2.9;10;58;0.4;3;155;0.2;0.4;0;38;0;0.3;0.07;0.4;4;100;https://lzd-img-global.slatic.net/g/ff/kf/Sd291e0ce271c49f9b247372fce67011dp.jpg_720x720q80.jpg;55;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Sedang
Lanting getuk;830;422;0.9;10.8;80.4;1.4;206;104;3.6;0;0;0;0;0;0;0;0.43;0;0;0;100;https://cf.shopee.co.id/file/261d5dd52028e4a8ebf57f5957bde6b4;75;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Tinggi
Lapis legit;831;389;6.6;15.7;55.5;0.5;16;136;1.9;0;0;0;0;0;0;278.75;0.26;0.09;3;0;100;https://kurio-img.kurioapps.com/21/03/03/fba953f2-c456-49e3-bec5-7adc1cbfd5a6.jpe;55;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Sedang
Lawar babi masakan;832;174;17;10;3;0;61;141;3;0;0;0;0;0;0;0;0.1;0;0;0;100;https://cdn.idntimes.com/content-images/post/20211019/203152501-4176779059011518-795637125163020240-n-c5aa3d72f7ca0ec57070d7c1a60cf2b2_600x400.jpg;55;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Sedang
Lawar penyu masakan;833;141;23;1.5;7.6;0;69;141;6;0;0;0;0;0;0;0;0.1;0;0;0;100;https://fastly.4sqi.net/img/general/600x600/4312632_DHgsLEo3W0e7vYm-X-ndJwUEN1E419WBzhTKzIb411c.jpg;55;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Sedang
Lawara jangang masakan;834;159;5;10.9;10.1;0;57;107;1.5;225;775;0.1;1;0;0;0;0.25;0.16;0;0;100;https://img-global.cpcdn.com/recipes/2bad2876953a328b/680x482cq70/lawara-jangang-foto-resep-utama.jpg;55;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Sedang
Lawara penjah masakan;835;207;7.4;15.4;9.6;1.1;62;80;2;10;68;0.1;0.2;0;0;0;0.1;0.02;0.1;0;100;https://nilaigizi.com/assets/images/produk/produk_1535786169.jpg;55;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Sedang
Ledre pisang;836;405;4.8;5.1;84.9;0.4;59;124;2.6;0;0;0;0;0;4;278.75;0.41;0;0;0;100;https://cdn.idntimes.com/content-images/community/2022/03/127926829-138078701098384-3632478979177553762-n-1fd6c04577e614a24488a2b0565fd065-d95921c5a20494e557ab339600558193.jpg;59;"Hoerudin (2012); Atkinson et al. (2008)";partial→pisang;Sedang
Lema/ Rebung asam;837;15;1;0.4;1.9;0;17;230;2.9;3;156;0.1;0.7;0;0;0;0.3;0;0;0;100;https://img-global.cpcdn.com/recipes/e8525bb6dc19cd61/400x400cq70/photo.jpg;55;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Sedang
Lemak Babi;838;902;0;100;0;1.1;62;80;2;10;68;0.1;0.2;0;0;0;0.1;0.02;0.1;0;100;https://cms.sehatq.com/public/img/article_img/memasak-dengan-lemak-babi-sehat-atau-tidak-1626927917.jpg;30;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Rendah
Lemak Babi (Bacon);839;630;9.1;65;1.1;0;13;108;0.8;0;0;0;0.9;0;0;0;0.4;0;0;0;100;https://nilaigizi.com/assets/images/produk/produk_1535869956.jpg;30;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Rendah
Lemak ikan;840;372;12;29.4;14.4;0;20;230;8.2;60;52;0.4;1.1;0;0;0;0.5;0.13;0;0;100;https://statik.tempo.co/data/2017/08/15/id_632737/632737_620.jpg;0;Atkinson et al. (2008) – tidak mengandung karbohidrat;partial→ikan;Tidak signifikan (non-karbohidrat)
Lemak Kerbau;841;818;1.5;90;0;1.1;62;80;2;10;68;0.1;0.2;0;0;0;0.1;0.02;0.1;0;100;https://awsimages.detik.net.id/community/media/visual/2016/07/11/01bf592f-fb72-43f1-a0c5-df9c28e4fd17.jpg?w=851;30;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Rendah
Lemon segar;842;34;0.5;0.8;6.2;0.1;23;20;0.3;31;140;0.1;0.2;0;0;0;0.09;0.12;0.3;12.5;100;https://asset.kompas.com/crops/rhXo_XxmQeotI8VocNxI-r4P_z4=/192x230:1728x1254/1200x800/data/photo/2021/02/03/601a928049052.jpg;55;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Sedang
